day,net_flows,lock_tx_number,unlock_tx_number
2024-08-19 00:00:00.000 UTC,-493529.67363028,8,1
2024-08-18 00:00:00.000 UTC,300.01,1,0
2024-08-17 00:00:00.000 UTC,3843.74145604,4,0
2024-08-16 00:00:00.000 UTC,-372822.9337213269,46,2
2024-08-15 00:00:00.000 UTC,13713.914379750062,30,0
2024-08-14 00:00:00.000 UTC,1200,10,5
2024-08-13 00:00:00.000 UTC,20267.770738189687,19,1
2024-08-12 00:00:00.000 UTC,5210.899178917032,8,3
2024-08-11 00:00:00.000 UTC,1050,1,0
2024-08-08 00:00:00.000 UTC,580,2,1
2024-08-07 00:00:00.000 UTC,900,2,0
2024-08-06 00:00:00.000 UTC,1892.3250267648434,3,0
2024-08-05 00:00:00.000 UTC,775,3,0
2024-08-03 00:00:00.000 UTC,-534.1534451139181,0,1
2024-08-02 00:00:00.000 UTC,1267,2,1
2024-08-01 00:00:00.000 UTC,-94204.99999999999,8,2
2024-07-31 00:00:00.000 UTC,3133,5,1
2024-07-29 00:00:00.000 UTC,-4007.1829575344964,4,2
2024-07-28 00:00:00.000 UTC,-5000,0,1
2024-07-27 00:00:00.000 UTC,92.4562,1,1
2024-07-26 00:00:00.000 UTC,488.2645929118088,3,0
2024-07-25 00:00:00.000 UTC,790.2904,2,0
2024-07-24 00:00:00.000 UTC,-49950,0,11
2024-07-23 00:00:00.000 UTC,57363.63535257783,5,0
2024-07-21 00:00:00.000 UTC,378.99612097718233,2,0
2024-07-18 00:00:00.000 UTC,4291.32647235768,3,1
2024-07-16 00:00:00.000 UTC,3093.594558657558,2,0
2024-07-15 00:00:00.000 UTC,37525,2,0
2024-07-13 00:00:00.000 UTC,31695.106047118534,2,0
2024-07-10 00:00:00.000 UTC,1.0325e+06,3,0
2024-07-09 00:00:00.000 UTC,-1295.04993976701,2,2
2024-07-08 00:00:00.000 UTC,62512.73663221695,4,0
2024-07-07 00:00:00.000 UTC,5.519149539701253,1,0
2024-07-06 00:00:00.000 UTC,7849.999999999999,1,0
2024-07-05 00:00:00.000 UTC,12505.999999999998,2,0
2024-07-03 00:00:00.000 UTC,4788.669138996225,1,0
2024-07-02 00:00:00.000 UTC,-11893.989633688325,6,1
2024-07-01 00:00:00.000 UTC,32460.351852361156,3,1
2024-06-30 00:00:00.000 UTC,13059.701531802137,4,0
2024-06-29 00:00:00.000 UTC,8059.893111196306,3,0
2024-06-28 00:00:00.000 UTC,7163.356744411056,6,0
2024-06-27 00:00:00.000 UTC,1547.9341325517184,2,1
2024-06-26 00:00:00.000 UTC,1360.156041968282,1,0
2024-06-25 00:00:00.000 UTC,6869.573997612652,8,2
2024-06-22 00:00:00.000 UTC,-500,0,1
2024-06-20 00:00:00.000 UTC,1308.2663045797242,1,0
2024-06-19 00:00:00.000 UTC,992.34532919,1,0
2024-06-18 00:00:00.000 UTC,-223.863,0,2
2024-06-17 00:00:00.000 UTC,54997.59332277999,2,0
2024-06-16 00:00:00.000 UTC,-2000,0,1
2024-06-14 00:00:00.000 UTC,-167.7495781994438,0,1
2024-06-13 00:00:00.000 UTC,333.80317831696874,1,0
2024-06-11 00:00:00.000 UTC,-1151.0710656200001,1,1
2024-06-10 00:00:00.000 UTC,-600,0,1
2024-06-09 00:00:00.000 UTC,-1000,0,1
2024-06-05 00:00:00.000 UTC,534.1534451139181,1,0
2024-06-03 00:00:00.000 UTC,-29.793130645169583,1,1
2024-06-01 00:00:00.000 UTC,-143,0,1
2024-05-31 00:00:00.000 UTC,-350,0,1
2024-05-30 00:00:00.000 UTC,-109.875,0,1
2024-05-27 00:00:00.000 UTC,-44657.79501973557,0,1
2024-05-26 00:00:00.000 UTC,-1000,0,1
2024-05-25 00:00:00.000 UTC,-1600,0,1
2024-05-24 00:00:00.000 UTC,-1903.6260155910159,0,2
2024-05-23 00:00:00.000 UTC,-250.738,0,1
2024-05-22 00:00:00.000 UTC,-145,0,1
2024-05-14 00:00:00.000 UTC,-500,0,1
2024-05-13 00:00:00.000 UTC,3117.0588056121705,1,0
2024-05-12 00:00:00.000 UTC,6385.212196495922,1,0
2024-05-09 00:00:00.000 UTC,781.274322514761,1,2
2024-05-07 00:00:00.000 UTC,-979.3733772368257,1,1
2024-05-06 00:00:00.000 UTC,-1000,0,1
2024-05-05 00:00:00.000 UTC,-1391,0,3
2024-05-04 00:00:00.000 UTC,-4060.3455438086316,0,1
2024-05-02 00:00:00.000 UTC,-863.1924651079728,0,1
2024-05-01 00:00:00.000 UTC,-300,0,1
2024-04-30 00:00:00.000 UTC,-1106.9096723753,0,1
2024-04-29 00:00:00.000 UTC,37270,1,2
2024-04-28 00:00:00.000 UTC,-380,0,1
2024-04-27 00:00:00.000 UTC,-3139.248617525405,1,5
2024-04-26 00:00:00.000 UTC,2.3205204437469718,1,1
2024-04-25 00:00:00.000 UTC,-1150.838,0,2
2024-04-24 00:00:00.000 UTC,-750.9391297231821,0,1
2024-04-22 00:00:00.000 UTC,5070.944438935312,3,0
2024-04-21 00:00:00.000 UTC,49938.035646093726,2,1
2024-04-20 00:00:00.000 UTC,-250,0,1
2024-04-19 00:00:00.000 UTC,12499.999999999998,1,0
2024-04-18 00:00:00.000 UTC,8504.1094,1,1
2024-04-17 00:00:00.000 UTC,-254.24241373036057,1,3
2024-04-16 00:00:00.000 UTC,2760.447120898891,1,0
2024-04-15 00:00:00.000 UTC,22866.05182014,3,0
2024-04-14 00:00:00.000 UTC,0,1,1
2024-04-11 00:00:00.000 UTC,-2000,0,2
2024-04-10 00:00:00.000 UTC,1155.606012805386,2,0
2024-04-09 00:00:00.000 UTC,-900.4807023647282,1,1
2024-04-06 00:00:00.000 UTC,24999.999999999996,1,0
2024-04-05 00:00:00.000 UTC,50000,2,0
2024-04-04 00:00:00.000 UTC,-486.32505774457024,0,1
2024-04-03 00:00:00.000 UTC,944.6978088566767,2,1
2024-04-01 00:00:00.000 UTC,1500,1,0
2024-03-30 00:00:00.000 UTC,196.9106497723485,2,2
2024-03-29 00:00:00.000 UTC,-500,0,1
2024-03-27 00:00:00.000 UTC,12303,1,0
2024-03-26 00:00:00.000 UTC,-517.6081593499999,0,1
2024-03-25 00:00:00.000 UTC,-330,0,3
2024-03-24 00:00:00.000 UTC,-200,0,2
2024-03-23 00:00:00.000 UTC,26315.68794717402,2,3
2024-03-22 00:00:00.000 UTC,26170.827049735297,3,0
2024-03-21 00:00:00.000 UTC,3039.02992572,1,0
2024-03-20 00:00:00.000 UTC,127.59260384576064,1,0
2024-03-19 00:00:00.000 UTC,331.51846686863405,1,0
2024-03-16 00:00:00.000 UTC,69000,1,1
2024-03-15 00:00:00.000 UTC,-2495.991728482304,0,2
2024-03-14 00:00:00.000 UTC,10295.239743943841,5,2
2024-03-12 00:00:00.000 UTC,3025.4108860311962,1,1
2024-03-11 00:00:00.000 UTC,-33049.48211440246,1,3
2024-03-10 00:00:00.000 UTC,-99999.99999999999,0,1
2024-03-09 00:00:00.000 UTC,-8167.54768764813,1,2
2024-03-07 00:00:00.000 UTC,29931.73791334481,1,1
2024-03-06 00:00:00.000 UTC,778725.5399660273,2,3
2024-03-05 00:00:00.000 UTC,-259136.93352976456,0,4
2024-03-04 00:00:00.000 UTC,5000,1,0
2024-03-03 00:00:00.000 UTC,-793290.4852306911,0,8
2024-02-28 00:00:00.000 UTC,0,1,1
2024-02-27 00:00:00.000 UTC,4400.445284841981,1,0
2024-02-26 00:00:00.000 UTC,-178.07392721,0,1
2024-02-25 00:00:00.000 UTC,-44603,0,3
2024-02-24 00:00:00.000 UTC,-59187.714222985414,0,1
2024-02-23 00:00:00.000 UTC,-2000,0,2
2024-02-22 00:00:00.000 UTC,-1000,0,1
2024-02-21 00:00:00.000 UTC,196974.4600339728,1,2
2024-02-20 00:00:00.000 UTC,309859.60052299534,2,2
2024-02-18 00:00:00.000 UTC,78659.33646860765,4,2
2024-02-16 00:00:00.000 UTC,5000,1,0
2024-02-14 00:00:00.000 UTC,8103.803526890028,3,1
2024-02-12 00:00:00.000 UTC,944486.0285,1,0
2024-02-11 00:00:00.000 UTC,1695.9917284823039,3,0
2024-02-10 00:00:00.000 UTC,148042.5284,2,0
2024-02-09 00:00:00.000 UTC,-96408.86610000001,1,1
2024-02-06 00:00:00.000 UTC,142424.8661,1,1
2024-02-05 00:00:00.000 UTC,21829.422714295033,6,0
2024-02-04 00:00:00.000 UTC,1.0406875614859385e+06,5,0
2024-02-03 00:00:00.000 UTC,15000,3,0
2024-02-02 00:00:00.000 UTC,144793.88310001,2,0
2024-02-01 00:00:00.000 UTC,195167.68415157462,4,0
2024-01-31 00:00:00.000 UTC,399999.99999999994,1,0
2024-01-29 00:00:00.000 UTC,635.0940297645272,2,0
2024-01-28 00:00:00.000 UTC,30.65725331,1,0
2024-01-27 00:00:00.000 UTC,7.238214581846097e+06,2,1
